Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","102"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","104"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","104"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","105"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","106"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","106"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","106"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","106"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","106"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","105"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","104"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","21.2"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","20.2"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","21.1"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","20.7"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","20.7"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","21.5"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","22.2"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","23"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","24"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","26.9"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","29.8"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","48.3"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","50.8"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","53.4"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","56"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","58.7"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","61.3"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","64.1"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","66.8"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","69.6"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","72.4"
